area_m,et
546861.6042709576,0.0
2637957.9093353283,47.25
3440376.0742208264,71.48333333333333
5007170.054986703,143.0
7120142.627390104,169.08333333333334
7796118.598139728,189.81666666666666
32269039.191020645,212.7
8491845.094609035,216.88333333333333
10032834.657435361,238.0
12425309.864404956,265.81666666666666
38653859.86429965,314.6333333333333
40901794.60467487,333.3
42900407.99063437,360.5833333333333
51897210.33133482,424.81666666666666
73778654.16962409,429.5833333333333
90797055.78832734,432.0
87130022.14258993,455.5
90267845.66032018,472.7
102198796.41215055,482.03333333333336
105060752.21935144,482.8
123680997.83719938,499.0833333333333
108287618.14345567,500.5
101507952.8159837,502.9166666666667
110264947.93749806,502.9166666666667
108929602.57598917,523.55
111022076.25191756,550.9333333333333
110209665.01029305,597.0333333333333
112694421.05341129,623.5333333333333
110886470.70603932,645.0
114037598.55085175,670.75
110886470.79102182,672.3166666666667
116416039.76398735,696.2666666666667
117811361.45769411,728.5
116644151.81716652,732.7
116644151.81716652,764.85
119576578.9127506,781.6666666666666
119539675.24306229,862.1666666666666
118425351.04533182,888.0
119242008.27019918,982.7333333333333
120981903.40658018,984.0
122569412.96471283,1028.7666666666667
123581097.95526403,1032.0
123581378.76653656,1075.8
124097551.64103243,1123.0833333333333
124593311.39021122,1151.0666666666666
124774940.77571316,1173.55
125241050.13159473,1197.85
126085588.81412229,1220.4833333333333
126141751.38786809,1244.7
127895722.68303977,1267.85
128315756.79043038,1292.4666666666667
131660224.52965868,1368.9
132864423.16699739,1462.3833333333334
133075776.09416136,1484.5333333333333
