area_m,et
331277.71984193544,0.0
337690.73178502545,43.61666666666667
340105.62716422114,47.43333333333333
346619.6394459333,65.11666666666666
362602.78776969,66.95
382118.189540435,95.66666666666667
990271.0798740834,144.06666666666666
1479780.0709776098,161.86666666666667
1382930.0028257829,163.1
1824798.1766388635,191.2
2387218.3795432397,210.6
3228031.2641346687,255.61666666666667
3724256.2597747953,283.25
4881124.742086211,305.8666666666667
7726301.383109351,330.0833333333333
8318968.8286448335,358.26666666666665
8318968.828638646,406.23333333333335
9815437.5236207,474.7
10486728.716760239,501.48333333333335
10486727.144261494,526.8666666666667
12089530.994378842,544.4
12453013.539696753,598.25
12453013.539700568,668.3666666666667
12770800.092931312,715.75
13754541.519287951,741.3666666666667
14587417.452372286,768.0166666666667
14614702.865576193,836.8166666666667
15740803.773296906,858.1333333333333
