area_m,et
1557006.8283493363,0.0
2032771.80047942,57.0
9113533.42645186,81.0
15169449.52825412,101.75
17468572.16884338,105.0
13139250.04877095,105.25
21809912.65659163,150.33333333333334
23011640.793682482,154.4
23509238.916012645,178.5
24686683.320903756,200.88333333333333
24686683.21737091,221.11666666666667
25517209.485378157,223.98333333333332
25517229.379398547,245.58333333333334
26471386.684580643,248.7
26471300.182306305,270.3
28910364.872360058,272.28333333333336
28910278.374760058,293.3333333333333
29947463.962379433,296.9166666666667
30555192.021647405,317.35
32789831.753856406,319.8
35049246.74897846,342.78333333333336
35960950.97674514,365.48333333333335
42498340.831641935,366.1166666666667
42046803.116233304,388.55
46879469.65775355,394.15
51329779.45497697,415.9166666666667
60381807.984590285,439.31666666666666
64805990.81246803,441.0
69302978.68661034,466.06666666666666
69738312.2425759,488.6333333333333
72308518.64444296,489.0
