area_m,et
5989874.2060661875,0.0
12664620.44923883,1.5333333333333334
12658910.244597351,15.833333333333334
12547509.10604652,27.833333333333332
27674683.31196067,44.25
30187759.190725375,51.5
47247075.89473513,53.06666666666667
28409741.26621322,56.13333333333333
195326087.97818056,74.5
180123266.0808539,78.06666666666666
202664398.16436696,84.5
277093272.7095633,100.25
327854872.8632364,104.25
361161416.0731306,124.5
386460108.11318123,124.85
393737967.04930025,148.33333333333334
420514017.1588539,149.46666666666667
457459037.310443,171.08333333333334
462210097.8111068,178.76666666666668
467815786.1360435,196.16666666666666
490687255.6037031,197.75
513734128.0911012,220.25
509956227.39471555,220.68333333333334
542119333.0317158,242.25
534487188.5401175,245.18333333333334
594929309.3321157,267.5
587656809.9223626,267.78333333333336
604531980.4360182,292.0
648581283.6129023,293.46666666666664
666271154.1537501,314.68333333333334
664552021.7551042,315.0
678377825.800817,339.5
696700040.0235063,342.15
697797349.9003392,361.5
712956772.9816388,365.48333333333335
718546666.5431745,388.25
723819940.647118,389.28333333333336
734932534.0770773,411.5
743585740.0107095,413.73333333333335
754325858.7940693,434.0
772907110.4197463,436.76666666666665
774274536.4579067,458.5
816676472.7438318,460.96666666666664
821922418.4309283,482.25
837475964.047325,485.4166666666667
838875385.2657351,505.5
854499098.5872309,509.3666666666667
854574507.1857718,530.0
868705161.4105718,532.0833333333334
868629303.3090198,554.5
868706363.2531672,577.5
905487918.6417594,583.3
907469167.2553828,602.5
919560418.3923638,604.6666666666666
919614889.1845535,626.5
929954385.0080931,650.5
929954384.9403387,674.9
929954243.2179345,798.5333333333333
929954243.2179345,798.5333333333333
929954385.0080931,845.5
929954385.0080931,880.5
929954385.0080931,905.7
929954385.0080931,925.4
