area_m,et
1498591.3190937242,0.0
2513145.8539804406,10.933333333333334
2508343.0011868416,26.25
2508343.0011868416,48.61666666666667
1030401.149191803,70.66666666666667
2508343.0011868416,93.3
8682771.715167405,97.61666666666666
11021195.515904097,118.8
11021195.48578845,143.6
11946037.419183316,146.4
12119046.682904726,174.5
16763480.476875205,194.0
17605660.645116664,213.95
18041333.25790734,241.76666666666668
18669570.42261988,262.1
18669570.326711915,278.21666666666664
20431319.57345511,290.68333333333334
21970940.206861556,309.31666666666666
23379042.905483954,337.46666666666664
25393312.497950394,358.4
26501658.66807103,384.5
25960229.62467464,386.3666666666667
35370359.9409115,418.9
35370360.04410068,506.53333333333336
39035362.377334155,527.2333333333333
38442396.34444216,527.4166666666666
38442396.87904752,548.05
36739336.53949009,573.9166666666666
38509163.956378594,649.0333333333333
36854691.447909966,669.5
38534970.49916349,695.25
36854691.22290954,696.8166666666667
36991800.999075234,720.7666666666667
37031490.33785699,757.1833333333333
37031490.33785699,789.35
37031490.33785699,813.4166666666666
37031490.33785699,834.5333333333333
37031490.33785699,1053.2666666666667
37031490.33785699,1100.3
37031490.347949825,1316.9666666666667
37031972.140696935,1393.4
