area_m,et
1421384.9882870174,0.0
1093883.793205428,15.45
1654383.646112205,15.5
2262776.7595882053,89.85
2552505.7588101323,110.26666666666667
10862320.955811538,137.73333333333332
12362561.17192532,158.05
12362561.168011395,186.25
21393112.648831267,229.0
22478876.829262696,253.7
23201525.560544934,279.9166666666667
23201525.55967574,305.75
27875626.054101698,329.8333333333333
30284149.253821492,349.35
30313111.6632442,377.56666666666666
35185786.36275192,397.45
36171739.50482318,423.4
36712019.861425154,449.45
37114038.917594284,493.3833333333333
37399244.092601664,498.01666666666665
37879722.96045456,517.7
38352833.438139156,545.8333333333334
38829312.355574004,564.9833333333333
39201132.35765491,593.8833333333333
39398870.18662536,613.1
39712973.095840745,640.3833333333333
39712967.30800574,663.0
39923503.701432906,686.25
40032089.51843209,714.7333333333333
40032089.44328291,736.0
40032089.44328278,752.5666666666667
42789013.61355048,783.95
40572945.68084975,805.8166666666667
41251564.434836395,834.5
41434872.259895116,853.9333333333333
41604300.183569655,881.95
41760611.67391521,901.6
43161041.78069353,1024.0
43161041.78944869,1093.55
43517439.3334284,1143.9333333333334
44485600.22674486,1192.0
45092078.546476096,1456.0
45332631.54926547,1992.8333333333333
