area_m,et
346291.278075769,0.0
650089.675256687,21.683333333333334
650089.6711102632,27.1
7895463.875513973,50.65
13200704.326425208,69.5
27656795.462034166,94.11666666666666
46105430.58462151,117.65
30389821.688598663,117.85
91786687.21080066,145.55
116468654.096143,164.93333333333334
98991119.04489015,166.51666666666668
125174564.00771536,190.85
125353479.83952105,214.83333333333334
124945865.5560092,265.73333333333335
124945865.5560092,293.1166666666667
124945865.5560092,310.85
124737501.15064766,358.85
124692541.22149459,410.6
