area_m,et
61998183.06434122,0.0
62853477.86714762,4.983333333333333
99553696.52928384,31.566666666666666
126767452.27894509,48.733333333333334
149868115.8959684,50.733333333333334
158351268.160623,77.41666666666667
165809846.99702394,97.98333333333333
190973297.08548188,98.45
216109464.7638549,118.93333333333334
201733405.48999417,127.4
232088315.42468917,145.08333333333334
217313571.895324,151.96666666666667
236847669.89446592,168.95
239267938.12996435,181.21666666666667
243299169.34315184,193.01666666666668
238277140.30485576,204.3
243241527.7003588,215.88333333333333
241339732.4636429,224.15
244041237.96286708,237.96666666666667
243896769.5368985,246.98333333333332
244250843.51497793,272.1333333333333
244250843.51497793,289.98333333333335
245626280.05874115,313.98333333333335
245985273.5052508,337.98333333333335
246073622.83234295,366.95
246073660.3992517,386.25
246085350.79146317,398.4166666666667
246085350.79146552,433.98333333333335
246085350.79146552,457.98333333333335
246198596.6507576,488.06666666666666
250373189.73436147,502.9166666666667
249283752.59099865,510.3
251561779.06628636,527.05
251573468.61341262,536.8166666666667
255766686.27434084,550.85
255666693.45892924,559.1833333333333
256307834.95819008,582.1
256307834.95819008,601.9833333333333
256307834.95819008,634.8833333333333
256350712.15309373,672.1333333333333
256477020.9318903,692.0833333333334
256647928.73811457,723.9666666666667
256982109.8793097,766.5833333333334
257243715.18025404,791.7
257243715.18025404,807.0
257243715.18025404,841.5166666666667
257243715.18025404,865.6
257243715.18025404,1009.9833333333333
257243715.18025404,1057.9833333333333
