area_m,et
29063804.598807696,0.0
37785633.65093183,37.416666666666664
29323057.408380024,47.483333333333334
79361187.91901588,48.85
221582570.8710638,70.1
161357148.2966936,71.3
264630859.4633603,96.71666666666667
295964146.1867679,97.08333333333333
312112508.35538846,115.83333333333333
298844673.79009855,118.95
312112300.727722,125.28333333333333
312007676.93499595,141.06666666666666
311905899.0718968,146.0
319393929.00947607,169.86666666666667
324103638.4433706,171.25
324153450.26213133,192.83333333333334
326654946.2516918,214.63333333333333
330832912.33038324,216.4
326654946.2516918,237.46666666666667
330498888.2634336,241.41666666666666
326654397.90183747,245.9
330421521.935878,262.1
330420865.0230501,269.6166666666667
330115540.4504204,288.75
331318358.4787292,318.0
331311459.534898,336.7
331310937.674982,366.0
