area_m,et
1113136.4247775143,0.0
7775624.837418383,35.0
23606686.19202489,53.0
44764875.665180765,73.5
45858300.47196604,99.25
71486933.02450967,126.4
56823354.56544773,129.5
85282569.66122286,145.28333333333333
79814766.19418174,154.85
87404541.22258231,170.48333333333332
96301916.41168982,175.88333333333333
87404541.22258231,191.0
108393699.10249716,192.73333333333332
112253065.1020266,222.0
112963299.11647148,229.06666666666666
116279011.62715864,241.41666666666666
116410363.99203065,268.65
119531730.6151935,270.3833333333333
120557241.42808935,289.06666666666666
120202975.59994742,290.0
121592549.4737353,315.1666666666667
121575223.48993142,339.0
126805752.08262159,343.8
127810892.67949648,361.35
127306780.87526278,370.6088888888889
128662046.79125404,393.34305555555557
128708207.55152948,409.0
128708207.55152948,432.81666666666666
140018267.74868482,459.23333333333335
139708023.19971332,462.55
144249956.43460658,554.0
148040866.19871676,559.45
148553368.29634345,577.5833333333334
144021721.9242913,580.2833333333333
146686468.15431583,598.5
146770953.86645207,605.3166666666667
146877932.14578855,624.5333333333333
146765212.98571777,650.3166666666667
146973637.32554615,653.25
146860234.7984702,670.0
146961673.60720327,672.3333333333334
146990365.73978847,701.2
146860234.7984702,710.0833333333334
146840944.1011538,749.8
147439130.81912953,871.1666666666666
147784923.40963188,919.0
