area_m,et
589338.9655598433,0.0
1185720.8698160285,24.0
1668435.1341533225,120.0
3440252.2008619867,192.0
4850519.807500965,264.0
4859211.9574933285,408.5
5743790.478973665,434.0
6201207.497666324,456.0
6316368.826990363,477.5
7030563.709234988,503.0
7781172.7225273745,528.5
8279452.031175755,550.0
10900985.2663996,623.0
16387680.015058925,646.25
19883462.90611168,768.0
11143959.358846178,818.25
19826671.04112122,841.5
22438390.35417294,1057.25
23155993.63802454,1129.75
28317626.17582962,1680.0
26605560.17887059,1705.5333333333333
32755885.330339488,1848.0
31065562.445539057,1867.1333333333334
