area_m,et
755610.1112200249,0.0
20452761.445309978,19.35
17432690.746810835,30.816666666666666
37409364.82776528,35.38333333333333
37488512.172024064,39.083333333333336
37409114.79207394,43.733333333333334
49820352.62621166,59.63333333333333
50676309.62642044,60.63333333333333
49820201.54539405,67.7
73666804.82864763,85.5
70068059.5572258,86.06666666666666
70068059.54322676,95.7
85130035.26239987,111.25
85073639.99856015,125.5
92618829.98321217,131.75
93811385.09817266,140.05
109758317.46099725,155.0
105768906.93447742,164.0
123369568.69503883,180.5
123369240.59382366,187.98333333333332
123515635.30635194,188.0
136513291.6661289,210.25
131713158.99329932,231.5
148020997.34092373,233.16666666666666
161301723.55299217,255.75
155850689.33429527,258.3833333333333
155577273.4734998,258.5833333333333
175192359.17072338,276.25
175309306.78053075,280.5
175309306.78132558,282.5833333333333
185747743.6266262,299.5
181921807.2894046,306.95
200749974.34777725,327.25
195141877.55235887,331.6166666666667
213925336.2513996,350.5
217039159.2336066,353.81666666666666
221040118.9714163,376.0
229228718.75470757,381.75
221596070.45113707,396.5
234033020.4618516,403.01666666666665
251317450.1310804,420.75
254409773.10972002,428.4
278124958.06307924,447.5
277580740.95544434,450.8833333333333
277388025.699474,454.96666666666664
297613291.52902365,466.75
288787825.44996524,477.6333333333333
326725623.41605586,495.0
313889109.3356723,497.6333333333333
362645568.11314094,517.75
336221554.2967194,521.9
370205020.0002035,539.0
378891387.2634565,541.0
381649676.7864346,564.5
382218223.553233,566.5
383531997.9515711,592.0
384180024.55777586,592.8
384781017.690904,611.5
384166724.1263063,616.25
386561328.1658819,635.5
385089208.4025253,639.0
387614307.2165418,660.0
385491437.50596976,662.25
388188139.2793033,683.0
387581075.47956467,688.75
390255129.80328226,707.0
388214068.89493996,711.0
390855838.57163686,730.5
391682516.50818133,759.25
390855838.57163566,766.5
391727869.1793431,782.5
391738505.468724,808.7833333333333
392045951.7645157,856.7833333333333
392045879.9314303,897.5
