area_m,et
2083711.5859991622,0.0
345203.5525608005,1.9
2083711.2701343237,71.0
3765928.0278959814,95.0
3765941.8035419695,97.88333333333334
9640177.086065369,122.65
12704264.244473655,138.43333333333334
14450774.593940811,140.55
13851816.573964737,141.55
13851816.573964737,169.33333333333334
13851814.421190377,190.0
13912404.641359067,219.2
13851814.421190377,248.0
14181330.158533573,267.0
14370398.521524152,289.75
14067294.87410599,335.75
14411350.75964073,337.25
14264410.643966042,407.75
14123287.84511321,409.75
14331521.49981715,429.53333333333336
14328435.380595945,433.7
14328435.380595945,456.5
14331399.822612215,488.8833333333333
14316020.544739999,509.3
13632334.518681206,550.3833333333333
13632334.518681206,573.5333333333333
13632334.518681206,621.7666666666667
13632334.518681206,741.7666666666667
13632334.518681206,813.5333333333333
13632334.518681206,838.0666666666667
13632334.518680345,980.2166666666667
13631232.824201506,1055.4
13633313.191943992,1101.95
13633313.191943992,1124.8666666666666
