area_m,et
17989.882165809613,0.0
1030401.1491920595,72.5
1943908.0060726544,94.15
2330521.4024958834,97.61666666666666
3022178.9181034113,118.8
3370986.88067524,143.6
3617649.569834229,146.4
3690210.4709631028,174.5
3677227.4173272075,180.7
3749801.529515893,186.11666666666667
4868677.8051706925,194.0
3810209.1078843335,204.5
5218368.9990201155,213.95
5925292.344119806,241.76666666666668
6679346.455596955,278.21666666666664
6656254.565249179,286.1
7205128.114601875,290.68333333333334
7434381.439118714,309.31666666666666
7835034.475308512,337.46666666666664
8264719.053130641,358.4
8945804.646248966,384.5
8364123.951732651,385.23333333333335
8788336.81635301,386.3666666666667
