area_m,et
1260906.8993198958,0.0
1661059.6558447173,14.95
2409761.1457478018,26.5
2587115.4070338514,39.05
2947817.175880383,61.45
3935202.297476872,86.38333333333334
8538240.147722691,109.33333333333333
25826699.922145583,136.01666666666668
37164560.29315425,157.38333333333333
37290237.851895295,171.25
37290237.851895295,179.66666666666666
44638354.85868633,180.28333333333333
62427274.08169199,206.81666666666666
70996773.6263986,228.68333333333334
87406778.97423023,254.48333333333332
120472884.88683113,276.43333333333334
145701114.64228955,304.73333333333335
145692046.95539814,322.8
151865552.69199502,324.21666666666664
157177320.08641034,352.1666666666667
157730213.47643062,370.85
159993033.94476008,396.35
163850051.95135868,422.2
169314441.76854292,443.8666666666667
175168675.16294384,470.26666666666665
184998225.92706025,491.75
188766515.84724078,514.8166666666667
191577916.63003752,541.3333333333334
195378293.96081707,591.05
196715386.4902775,611.3
197894172.33082157,639.2666666666667
198440092.5998726,659.4
198473917.81006905,736.7833333333333
