area_m,et
120682.58818153993,0.0
312338.4296735995,24.0
426274.5631673716,28.95
567196.3495704149,48.21666666666667
581674.855802766,48.3
567198.0450982116,55.0
1075722.8878028572,76.13333333333334
1618338.9039455734,98.0
1618338.667009948,104.0
2043426.399654927,127.0
2529998.5678137178,151.0
3277303.0591711304,167.96666666666667
5504032.414194699,225.0
6206645.401053286,240.7
892.8424384280629,242.0
6625474.1772525,266.95
6947693.454427772,288.8833333333333
7301000.564861295,316.8333333333333
