area_m,et
3234704.5117193046,0.0
24937371.407267723,65.5
67605186.96025644,126.35
70535506.50329258,149.5
78207576.19150618,197.25
112347333.36273402,227.56666666666666
119756392.75848047,245.46666666666667
119756192.66484019,256.0
121604909.36884427,270.81666666666666
121604909.36884427,294.8666666666667
121604909.36884454,318.3
125350998.67499788,342.96666666666664
125350998.67499788,367.1666666666667
126433753.60269438,390.5
126433753.60269438,413.46666666666664
126433753.60269438,437.05
128950478.7803349,779.5833333333334
