area_m,et
67599.98815570351,0.0
532140.6306688042,46.81666666666667
1277132.417789196,49.93333333333333
1462404.2733324792,59.85
3190667.525902513,94.4
2236508.3968110927,97.4
2236508.3968110927,120.46666666666667
7467881.010348551,130.4
6111239.745932428,145.63333333333333
10158595.449106805,192.43333333333334
10942727.394879347,216.41666666666666
10479548.496942572,216.98333333333332
10647726.8850811,240.13333333333333
12185359.108037453,244.66666666666666
14509012.921720317,263.8833333333333
13144081.937417734,264.51666666666665
16427536.353811134,293.28333333333336
17121358.712791026,316.45
18474931.552193195,340.0833333333333
19658849.59536311,359.5
19658849.57795551,368.4
21850305.37008088,389.06666666666666
24855291.31593807,415.9
31907254.14688846,440.9
34559875.40456862,454.8333333333333
39212944.78615043,488.9
45889316.14947459,503.78333333333336
45909673.05589086,512.15
47300495.041157186,556.5833333333334
52358071.140572794,580.9
55906317.92553518,606.1166666666667
69863318.53771544,627.6833333333333
82570448.20096,647.2666666666667
82557544.11075434,673.1833333333333
82557544.11075434,697.4833333333333
82743571.47414766,721.5166666666667
82985731.69631596,745.1166666666667
83309520.73828219,745.9333333333333
83377961.29801422,768.8666666666667
83542805.09253497,793.9
84477252.15264013,816.55
85159606.4619182,817.6666666666666
85485582.96600315,841.9
85480347.51844317,863.7833333333333
85480347.51844317,888.3
85480347.51844317,912.2666666666667
85699416.78449664,937.2333333333333
85699416.78441386,957.5333333333333
86621208.79640053,984.8833333333333
86406332.16079031,986.4
86406332.16079031,1032.2333333333333
86406344.6041937,1058.0833333333333
