area_m,et
21434169.22174415,0.0
27607465.096059784,12.0
20954255.956012737,14.8
32145715.5096404,83.0
45039634.51723518,107.0
45039689.79276451,109.88333333333334
59658951.640343755,120.0
59061493.38863091,134.65
65436332.49277944,150.18333333333334
68395319.61652677,153.55
68357699.82534897,180.0
68421921.79178225,202.0
68500537.65772973,231.2
68927906.84953508,260.0
69802159.18153484,279.0
70732767.05565925,301.75
70959349.88676202,347.75
72182072.64832954,349.25
72398418.69484496,370.75
71814215.29901841,376.5
74541468.76793566,419.75
72308088.624006,421.75
73584061.60929768,441.53333333333336
74706084.7508576,445.7
74682768.71704474,468.5
74519571.42080991,500.8833333333333
72657161.68110064,521.3
72614528.51760012,562.3833333333333
72614528.51760012,585.5333333333333
72618553.22386627,633.7666666666667
72618553.22386752,657.2166666666667
72792697.2590954,660.1333333333333
72786647.76456164,681.9166666666666
72786649.47602686,753.7666666666667
72786649.47602686,825.5333333333333
72786649.47602686,850.0666666666667
73448875.86021581,992.2166666666667
73772915.65137391,1040.35
73863883.46378918,1067.4
73994045.52532011,1087.35
74275885.40882015,1113.95
74510748.42920801,1136.8666666666666
88492813.02925108,1163.7666666666667
88542830.95824438,1259.5
88551596.95906693,1304.7833333333333
88554121.05346757,1352.6833333333334
