area_m,et
1366448.7571441347,0.0
2011925.0469750427,18.133333333333333
2841123.6776724216,18.733333333333334
3804378.995389941,41.21666666666667
5539561.296852487,63.6
6793230.148399449,87.38333333333334
6836410.057048822,95.36666666666666
20090016.257883996,111.43333333333334
20093278.659440853,120.91666666666667
22687800.332302917,133.75
23383206.870115705,135.71666666666667
23417939.695211682,143.71666666666667
23986165.829694536,158.2
24830497.499776006,159.5
24830497.42308213,167.3
25570102.384226985,181.78333333333333
27037485.483683,183.38333333333333
27037485.510132883,192.16666666666666
27582528.873708468,207.21666666666667
27975781.30372289,230.51666666666668
27972227.949010596,250.35
28279196.805747982,257.73333333333335
29306417.810614023,275.2
