area_m,et
554532.911044883,0.0
2923543.4591288315,34.0
5573394.714507451,34.0
35306381.5775918,109.66666666666667
64810307.907407604,132.95
72085785.91577163,157.35
64809776.93944647,158.25
72085358.4688434,162.25
94289030.16160704,214.61666666666667
104790284.19860019,238.18333333333334
114671736.97700658,256.1166666666667
104790284.19860019,262.4
119988703.54438338,276.8
131037508.87574178,277.35
130970951.71800594,299.96666666666664
139079723.7367186,323.23333333333335
138029772.7529164,357.6166666666667
