area_m,et
1559530.1104226096,0.0
5765555.292979355,34.45
8241974.449590966,58.166666666666664
10422636.575756583,58.6
15828721.038718803,81.08333333333333
17839261.127102505,82.86666666666666
23058232.47841039,106.88333333333334
22007112.364462383,107.65
29673340.35215988,129.08333333333334
26810392.250499014,129.15
37948683.63435485,155.63333333333333
41292010.370607816,177.23333333333332
44727442.81230878,180.08333333333334
47036668.9474996,200.71666666666667
50867717.73289135,201.91666666666666
56325279.11898269,225.0
57705049.923561215,249.25
70796112.80156314,271.9
62548958.34642843,272.71666666666664
76258836.74479069,297.2
83108313.4955671,320.1666666666667
77697055.30847658,321.5
84111600.69782358,346.26666666666665
91693698.13350883,346.78333333333336
97677980.56402741,369.5833333333333
91933594.02787635,370.48333333333335
103931337.52716342,394.48333333333335
113809222.82137933,394.53333333333336
119597017.93476428,416.81666666666666
113886464.20513223,418.43333333333334
124945378.96485786,442.1666666666667
119757165.10922454,444.0
133938012.28623217,464.71666666666664
124945378.96486305,468.5
133938012.28622909,475.75
140962473.32066795,490.43333333333334
140961494.0879164,500.0
146260943.1853523,512.1333333333333
154558609.91828313,538.4
170503188.42847157,560.5333333333333
154210925.71784395,563.0
183576799.8283455,586.9
170462727.1380595,587.0
186668694.53009468,607.4
186657183.53492627,617.75
187022489.493131,641.5
187068901.69483042,656.5166666666667
187022489.493131,661.5
187139912.32398906,688.0833333333334
187139912.32398906,754.5
188170729.07347444,837.7333333333333
188184017.30508336,925.8833333333333
