area_m,et
13002257.903445598,0.0
17494963.97367679,16.35
25224757.095548417,29.1
39443988.32017374,36.85
16885772.009754956,37.6
39266479.12795876,39.56666666666667
62734907.49245826,62.93333333333333
62734907.49245826,63.65
87701547.50641254,87.55
90873691.818726,117.5
91200659.05985624,133.35
93202542.36911811,136.6
93459187.11460982,158.1
93790170.98404118,164.46666666666667
93404052.23573655,181.6
93461015.11888267,184.85
93404052.23573655,207.1
93499188.4864334,208.1
93404052.23573655,238.35
93968054.65897128,517.1
