area_m,et
3716.4705224794475,0.0
62516.40060966059,48.0
196329.82892125254,81.0
317536.21941163024,120.21666666666667
528823.9407478321,167.28333333333333
1042628.615507605,222.0
1550192.8104790638,238.0
2301219.6479316363,261.3333333333333
2986106.1173749208,290.0
3574597.049542317,308.9
3903166.356561093,336.31666666666666
4215599.745678317,356.78333333333336
4337502.681744171,382.96666666666664
4422124.941720546,409.6
4629967.6175799845,431.5
4769469.291290645,456.28333333333336
4845715.611179923,479.31666666666666
4986972.225042172,597.5166666666667
5176173.396916048,670.8333333333334
5237589.936282561,694.6
5254033.4829865005,722.8
5328511.451147124,837.5166666666667
5956248.951692574,912.0
