area_m,et
9260959.128552172,0.0
9255239.281544061,19.016666666666666
8802389.738640092,23.65
9150357.765122509,43.1
11023022.25639606,67.76666666666667
11022960.939648485,93.76666666666667
11107998.68361508,119.5
15390458.803066324,140.13333333333333
20216421.63996738,163.05
21841782.05407548,190.86666666666667
22305132.117123336,210.66666666666666
22637226.26519268,238.33333333333334
22753051.124529436,258.23333333333335
22837017.706577186,285.68333333333334
22837720.22688306,305.65
23744565.81167842,334.06666666666666
23782916.895592034,355.8333333333333
24277852.431813005,379.31666666666666
27191623.7904216,382.31666666666666
28442030.127522755,401.85
27717734.617444437,403.05
28734798.520419,426.0833333333333
31504498.632685237,429.6
32505820.39691854,449.0
31518261.00652162,449.1
33336599.185205054,451.76666666666665
32555388.01012239,473.8833333333333
33359791.061810147,493.48333333333335
34798731.6941552,522.0
36041591.1481592,570.9833333333333
36107350.257912524,594.2333333333333
37715136.99615791,713.4833333333333
37958597.64459963,732.05
38218013.94195292,740.6
38575244.09687372,763.7666666666667
39011092.04458452,782.8
40119963.07167464,811.25
42896188.09369795,858.7666666666667
41664140.09185812,1025.6166666666666
41664999.38213435,1097.85
