area_m,et
2380994.8799395296,0.0
4319548.252830451,20.716666666666665
8813233.132922709,49.43333333333333
18376797.84243042,69.08333333333333
21452687.2371291,96.56666666666666
24761724.044100422,117.36666666666666
27183771.313478135,144.78333333333333
29462838.58158267,165.03333333333333
33618364.226708174,188.96666666666667
56555493.67046171,236.83333333333334
64655847.87365675,261.48333333333335
73062550.8210911,285.5
79333542.34805669,309.55
86741728.5874532,336.43333333333334
95305417.62034091,356.9166666666667
105117922.16212673,384.21666666666664
115688094.7268677,405.23333333333335
125437041.09404135,429.8666666666667
134144601.954955,455.9166666666667
142380304.33837745,477.15
149828867.62808213,504.45
155818614.87290943,548.3833333333333
190924975.063175,551.25
207529567.70359227,571.6166666666667
224286108.63691688,599.35
232718828.67143637,619.8
239942613.3142725,646.7666666666667
241170171.33669817,672.1333333333333
254641641.8411167,692.8
269277988.3211461,720.1666666666666
269277950.87894505,729.8833333333333
277029571.88196766,743.6333333333333
292588760.4816567,770.1333333333333
322727833.8911522,811.3833333333333
327696740.73206985,838.7333333333333
332934987.932678,859.55
340358730.22647643,886.4666666666667
334864263.85160357,895.4061111111112
356032072.40011996,907.2
357544977.10964084,924.3166666666667
373228143.16065216,934.5333333333333
363762130.9440559,942.4166666666666
396310839.6994966,956.15
409277564.8176935,983.1333333333333
414771522.80628616,1002.8833333333333
414716327.2312052,1030.1333333333334
423125209.5491523,1055.3333333333333
431578603.30350816,1077.1166666666666
443268576.81908315,1099.4666666666667
455979518.4790774,1124.0833333333333
468514072.72297657,1150.55
455944475.9782718,1172.0166666666667
466154401.1899051,1174.1333333333334
525519516.19585836,1219.7333333333333
510023170.52697974,1222.1333333333334
537605705.0266283,1269.5666666666666
544998755.6584315,1292.15
546844565.1698649,1316.2
550716566.2309061,1342.1166666666666
561509265.4556988,1363.8333333333333
569717806.091255,1388.9166666666667
569717806.0544442,1450.6333333333334
578218713.7789077,1485.1666666666667
580542302.4976146,1505.1333333333334
583081394.078105,1533.0833333333333
597382035.6626335,1603.1
843458141.8887788,1630.9166666666667
637424177.6437311,1652.5666666666666
637420578.2089069,1665.7833333333333
647537621.8941016,1676.6333333333334
665175578.7468138,1700.7833333333333
678619523.2803441,1724.5666666666666
679742778.8974037,1868.5666666666666
679747287.6467737,1987.7
679785645.7103764,2060.5
699970860.1600631,2132.1
702043229.6496569,2154.3333333333335
703555574.6511678,2178.1
704327284.5344639,2202.65
705385849.5210752,2226.5833333333335
706514620.3656927,2251.133333333333
707646268.2941915,2274.4666666666667
708743524.4692426,2298.4666666666667
711742866.579779,2469.133333333333
711680072.6373224,2493.133333333333
711680072.6373224,2515.633333333333
708744058.6128668,2534.9
711680072.6373224,2564.133333333333
711680072.6373224,2587.133333333333
