area_m,et
2392.673054962727,0.0
33936.975528617586,249.33333333333334
7941320.467462591,274.6
8067895.872631799,275.3833333333333
10762191.590752408,294.53333333333336
10762113.229586516,303.2
11801981.679059524,321.2
11801940.022287698,321.85
12174298.353360182,341.46666666666664
12174313.35327078,345.2
12173908.981967177,351.2
12833259.332901001,369.2
13368813.26473991,393.2
14658074.719782798,417.2
16170830.57045113,441.2
16170830.57045113,465.2
16170830.57045113,489.2
16453122.496233994,535.5666666666667
17277540.97223423,1017.2
17320712.727416135,1041.2
17876508.121099755,1088.05
17955533.380636957,1113.1333333333334
20628646.43480647,1138.2
26438983.859587386,1181.2
29305306.79661705,1212.5666666666666
30339510.912172165,1224.8333333333333
20628646.43480647,1257.2
30563377.58762634,1257.2333333333333
32944683.90163378,1305.3833333333334
34348651.9368649,1329.5333333333333
35542983.108661875,1376.2833333333333
40105994.16364577,1402.7833333333333
40334126.20120109,1448.1
40334126.20120385,1449.2
40499969.55954531,1473.2833333333333
43583333.179717705,1535.8166666666666
45168221.3566054,1584.2666666666667
45564327.466737844,1607.5
46989272.109288104,1640.2666666666667
50606250.00266228,1665.2666666666667
51293778.19002346,1679.3
51778878.04608116,1702.8
52017524.996645026,1728.1833333333334
52160525.78249459,1777.9
52304880.732012555,1801.6833333333334
52425043.75128518,1823.1
49665591.22011915,1874.4333333333334
52847671.94535618,1894.6
54037600.589384,1948.7833333333333
54504214.66947052,1987.0666666666666
54504214.66947052,2087.616666666667
