area_m,et
886634.3898276903,0.0
2378310.9695151206,17.516666666666666
2297966.89863969,20.416666666666668
4223403.247398915,46.516666666666666
4875674.620791104,65.51666666666667
4875674.620791104,91.15
8765558.693858176,105.51666666666667
9080902.578784926,116.91666666666667
9119744.39216223,137.51666666666668
10215753.270996,140.61666666666667
10249561.362726638,151.51666666666668
10355680.41773365,162.51666666666668
11836541.466288576,167.16666666666666
11842458.218186622,167.16666666666666
13020702.87692783,188.35
13411293.701040098,197.51666666666668
14579640.853898963,215.65
14590399.706729775,218.51666666666668
14696623.543292448,227.51666666666668
14734384.249607718,236.58333333333334
14751224.635745827,242.51666666666668
14767601.302654505,243.51666666666668
14769502.732182706,262.5833333333333
14895742.714916091,284.46666666666664
14895742.714916091,302.51666666666665
14895742.714916091,332.6
14895742.714916091,381.0
14895742.714916091,427.8833333333333
14895744.843024313,476.3333333333333
