area_m,et
3814276.607399686,0.0
3989969.0660259076,4.666666666666667
4250614.729239483,26.633333333333333
4250614.701928523,40.05
4505292.561979204,60.0
8675455.235694733,64.66666666666667
6182769.689473378,74.7
6925352.88723475,78.76666666666667
6825106.744880645,94.8
7514688.97472486,110.3
8663188.314490898,111.0
9325884.214242449,123.66666666666667
10623965.708734663,132.95
14801297.328543311,146.91666666666666
16547429.903137768,169.66666666666666
14801187.91204592,171.88333333333333
17434852.265052892,193.91666666666666
17440248.0349613,209.48333333333332
17441420.33736411,219.16666666666666
17440445.549960792,219.41666666666666
17441395.547334794,242.66666666666666
17441420.33736411,243.1
17441420.33736411,267.26666666666665
17441420.33736411,292.06666666666666
17441395.54733687,297.9166666666667
