area_m,et
1318000.7931985985,0.0
1475529.4879510303,43.61666666666667
1694611.8151874195,47.43333333333333
1962313.135048477,66.95
2462575.3204380935,95.66666666666667
3148374.0981384106,116.0
5011880.7835502215,144.06666666666666
5629800.792071617,163.1
6671194.390564948,191.2
7246210.618469984,210.6
4087386.644848875,255.61666666666667
9085334.179090504,283.25
10132687.371733319,305.8666666666667
10853397.598092362,329.8666666666667
12465858.601503115,330.0833333333333
12793646.188259445,358.26666666666665
12793646.188260356,406.23333333333335
12899139.781411346,426.18333333333334
13454104.672950022,474.7
13663977.459087584,501.48333333333335
13663975.446781164,526.8666666666667
14476579.851457492,544.4
14476577.694030264,598.25
14476577.694030264,668.3666666666667
14476634.913802443,741.3666666666667
14528791.648146672,836.8166666666667
14587998.535767574,858.1333333333333
