area_m,et
3114407.417696214,0.0
4256711.919582291,20.716666666666665
5567896.2070029145,49.43333333333333
6305724.639544615,69.08333333333333
7752111.080918396,96.56666666666666
8493481.194427963,117.36666666666666
9802021.270667033,144.78333333333333
11114271.884084633,165.03333333333333
12130594.307780555,188.96666666666667
59973686.31141397,216.21666666666667
18725276.99630145,237.03333333333333
21756501.642765466,261.6333333333333
25068873.451818597,285.28333333333336
28359735.365727782,309.95
31224050.584958427,336.23333333333335
34221336.26467084,357.31666666666666
38411004.11841941,384.0
39971755.22739976,405.8833333333333
41814921.3053212,429.76666666666665
44077262.44766698,455.8
46020176.53290327,477.71666666666664
47084755.216095746,504.3333333333333
48303121.07852851,524.9333333333333
50532853.73649742,552.15
51418604.75526111,572.2
53236423.2120676,599.05
55837317.41618789,620.5
64704961.982736446,645.5333333333333
75570773.29558526,692.4833333333333
75570773.23692225,705.3019444444444
79881069.5558701,718.7333333333333
79881058.1682728,739.1333333333333
82298918.73336543,783.6333333333333
94281814.39152399,812.15
95049866.53922503,838.4833333333333
96493905.68115109,860.15
96493891.9778636,883.1333333333333
98329796.47533621,891.1333333333333
99871900.75118808,914.1333333333333
102285514.76739576,934.3166666666667
103761775.6317891,955.9
106456422.06556481,982.8
108383732.1027712,1003.4666666666667
109902050.54122636,1028.4
110823351.77807173,1051.9
112383763.08970155,1054.1333333333334
113267183.91135222,1076.8166666666666
113267167.99934162,1082.1333333333334
115788880.31733832,1100.15
115788863.97942223,1105.6333333333334
119707786.53004454,1123.6833333333334
119707786.6058285,1147.1333333333334
122212726.7221789,1151.1333333333334
126935527.56352349,1173.1166666666666
126935509.66493805,1181.1333333333334
129799524.56384864,1220.3833333333334
131503423.65902534,1244.2166666666667
133060082.65756454,1291.7833333333333
133373244.84918585,1316.7833333333333
134278716.03073168,1341.75
134500209.99667993,1364.3833333333334
135011398.0545845,1388.5833333333333
137247447.08793807,1602.9
139372570.07127318,1629.5666666666666
146364543.3207251,1651.2166666666667
148802221.66992372,1675.35
150963804.57370263,1699.5
154541205.53604665,1723.2833333333333
154593299.66021445,1868.35
156791755.45594907,2173.8
154601079.51610276,2209.25
