area_m,et
20797844.55072034,0.0
59385158.600038126,6.95
30862021.528959885,14.45
121772876.89972991,32.61666666666667
59480654.25441663,39.15
118088866.02694596,41.21666666666667
179342266.97055814,55.88333333333333
160936633.89733782,56.21666666666667
164819188.32581902,60.71666666666667
190560279.72787574,79.68333333333334
185635207.5286283,104.21666666666667
208459708.7712882,128.0
194973915.78028744,128.16666666666666
214631718.76145053,150.33333333333334
211293512.52453184,151.21666666666667
219492506.04709324,175.21666666666667
223817975.8824988,176.1
224571391.51308247,199.06666666666666
224547177.7620238,199.21666666666667
227495962.93000087,223.21666666666667
227498119.98325834,245.9
228871423.72570452,249.21666666666667
227499615.50086048,270.71666666666664
228871423.72570452,271.21666666666664
228871423.7257091,296.21666666666664
227500076.9764374,317.2
228871423.7257091,318.71666666666664
228871423.7257091,343.9
228871423.7257091,366.71666666666664
