area_m,et
1144233.8341589181,0.0
2211822.710282799,24.0
9094712.719181465,38.5
6657844.99139217,38.75
9094963.467668653,61.11666666666667
9094963.467668653,85.0
13426082.096066575,106.65
24224826.117765862,110.11666666666666
32897354.447823297,131.3
34147503.08204099,156.1
37049395.59765727,158.9
40349671.24791762,187.0
39376782.44382572,193.2
57989988.507999256,206.5
43811951.30911495,217.0
165470906.75275025,224.5
172822330.89833578,226.45
179848217.1055919,254.26666666666668
185884068.8504377,274.6
185944547.50785536,290.71666666666664
197300212.22054532,303.18333333333334
197218393.9696725,321.03333333333336
205875828.8169263,321.81666666666666
223453107.738486,349.96666666666664
234581833.63828197,370.9
279231794.6804255,397.0
305228719.117862,492.5
309310309.09855574,509.7
326602431.1341691,519.0333333333333
331550864.89536345,537.5
339089084.34693396,539.9166666666666
352043413.64203876,560.55
352043413.64204043,586.4166666666666
339105071.81667084,614.8333333333334
340766804.781458,661.5333333333333
341660167.313029,682.0
341198625.2652473,682.85
344839254.0428344,707.75
359338635.7289735,730.8166666666667
361220039.4392842,733.2666666666667
363117963.2141593,778.1666666666666
363929104.58321065,801.85
368575105.20498216,825.9166666666666
368575105.20498216,847.0333333333333
368575105.20498216,871.4
368575105.20498216,899.1666666666666
367820161.6100157,923.4
368462383.53104526,949.0
369221827.855137,972.1666666666666
368462383.53104526,1045.0
369248051.30823207,1065.7666666666667
369253990.9995671,1188.0666666666666
369258392.26636356,1329.4666666666667
369506022.79715717,1405.9
