area_m,et
1766173.0895185047,0.0
6713390.822154403,7.0
21463055.52777961,59.25
18896166.79103288,63.6
27886086.51926826,82.0
22397200.91198793,92.16666666666667
31609708.65821357,103.96666666666667
41839065.43470254,109.0
46924276.21182074,110.5
60858503.80034648,133.25
66850950.09818384,173.48333333333332
67695370.96456309,182.2
74785189.4076971,184.25
90314097.02794535,205.5
80058475.06924897,207.5
91800828.26078267,217.3
94559159.12519585,230.25
96552218.7379914,249.51666666666668
97305996.23004167,252.25
101211532.78661826,258.5833333333333
101289411.19465892,277.23333333333335
104275624.96347319,304.25
110116969.852085,309.81666666666666
111910122.48986855,325.0
119352542.1690547,350.25
122206572.88850096,355.76666666666665
124048317.13176045,375.75
123156489.82478638,380.0833333333333
127599186.85382175,402.75
126121361.88516676,423.25
129910381.80331515,427.43333333333334
148302565.65393084,468.76666666666665
148449300.6930412,497.3
148557564.57543477,679.4833333333333
148557913.87713382,926.0
