area_m,et
296188.41573391616,0.0
510882.7153209448,13.833333333333334
976471.4372105146,59.56666666666667
2930528.862034706,61.833333333333336
4394572.69318444,107.83333333333333
5784340.660304774,118.83333333333333
5784202.797937385,128.7
9508086.115814924,154.83333333333334
11610265.811829817,176.7
14634846.316789864,203.83333333333334
16043488.125588696,226.83333333333334
16043488.193859937,229.83333333333334
20390660.848013725,229.83333333333334
17879194.903882552,240.33333333333334
23280192.350101396,269.76666666666665
20390660.784238495,274.68333333333334
26245476.057738747,295.93333333333334
23279859.002599448,300.43333333333334
27100807.89870213,316.9
26171507.419596076,323.3666666666667
27006293.579514273,332.81666666666666
27872702.243056137,343.26666666666665
27035485.510798555,347.45
29359056.80971774,366.65
27808925.567537554,371.45
29478809.313654866,389.8
29266636.731386125,395.3333333333333
27872797.00375336,397.26666666666665
