area_m,et
7344191.459095901,0.0
17217807.805944707,5.65
18442959.454404335,7.733333333333333
21459106.057065595,31.0
32405565.392108742,32.4
40444828.398251995,54.666666666666664
43771342.017931245,78.46666666666667
48106634.45826801,101.81666666666666
46198079.54135004,103.0
50295465.81523752,126.78333333333333
49565526.06056739,126.95
51940603.86639159,149.11666666666667
50376570.84162781,150.0
54265189.701277345,174.0
54958635.67531734,174.88333333333333
70243899.58085983,197.85
61003490.866849504,198.0
70234181.07146367,222.0
70234181.07146367,224.0
70239086.9295893,244.68333333333334
70234181.07146367,270.0
70234181.07146367,295.0
70239352.26058097,315.98333333333335
70241209.36866991,317.5
70241209.36866991,342.68333333333334
70241209.36866991,365.5
