area_m,et
7693811.495811372,0.0
4100222.7313940017,0.1
9778083.897369511,24.9
14175826.3057144,33.2
21915805.097120896,49.75
17844317.385430958,50.36666666666667
21936513.09762445,60.06666666666667
30608575.62853964,66.5
23947575.53162663,73.9
25018920.141891487,85.56666666666666
30608575.647393722,97.81666666666666
39623861.13308141,100.75
39581120.18046656,109.06666666666666
40254244.37765394,121.55
43447501.09712068,125.0
43500537.7120351,133.08333333333334
44798574.61160712,145.36666666666667
46657970.36598861,148.25
47827614.20170224,169.41666666666666
47827308.67938328,177.41666666666666
49382944.87710435,193.48333333333332
49140527.9807624,201.35
49977066.06018593,203.93333333333334
50012691.811331436,217.05
50035158.65632964,240.08333333333334
49833618.83481126,244.0
50253587.59341994,268.25
50198721.08463066,289.2
50206609.63843459,312.3666666666667
50096152.27305708,337.45
