area_m,et
10085499.967571838,0.0
30727018.49825257,21.983333333333334
65717440.18406002,24.183333333333334
171341111.65292966,47.55
150014864.57264224,49.21666666666667
149788467.46505603,61.0
199633869.02547827,71.4
243231371.37742835,97.33333333333333
311111973.08237875,121.08333333333333
444639164.5939469,142.88333333333333
454449094.1317286,143.13333333333333
634077309.348709,166.78333333333333
633950416.9546276,168.33333333333334
846872908.5531496,193.0
838850571.7336689,193.08333333333334
849775271.4262971,214.4
910434979.7531896,215.83333333333334
978252744.9575616,240.21666666666667
1012219295.2398479,263.5
1014932846.9688895,264.78333333333336
1038125918.4131116,285.3666666666667
1034990678.5380998,287.81666666666666
1046049247.6523656,310.9166666666667
1052011144.4359405,313.0833333333333
1117989826.9108346,332.8
1117989826.9108346,334.5
1142922382.3877115,360.76666666666665
1197553327.3773596,384.05
1233724702.615744,407.15
1236080781.027788,409.71666666666664
1274249482.905894,431.0833333333333
1287168091.6936903,455.98333333333335
1325014507.15696,478.0833333333333
1334511522.5335658,481.53333333333336
1334511522.3199413,494.2263888888889
1342269989.8671095,497.9166666666667
1353084338.8691437,500.6333333333333
1352426618.9381921,517.85
1358099920.3096223,522.8
1358099920.3096223,531.55
1415941310.8055637,546.8
1417763650.17805,572.0333333333333
1438862551.7895062,573.2
1438882146.337997,573.2166666666667
1446021690.778075,597.5833333333334
1462957273.958752,600.8
1481265725.628933,620.8333333333334
1481772843.6214008,627.85
1487570715.2838395,633.75
1481269169.75067,638.5833333333334
1484199568.111533,646.4166666666666
1511174017.8729086,649.6833333333333
1526511527.5770557,668.6333333333333
1538350419.2982802,692.3333333333334
1589225397.4790702,697.15
1589227257.1109107,701.5833333333334
1626848033.7305417,709.5833333333334
1628542666.4099135,716.9
1659688000.3325768,732.5833333333334
1659817801.3946688,744.1
1659774575.4031446,764.8166666666667
1659774575.5154657,775.5833333333334
1659774575.5154657,797.3333333333334
1659774575.5154657,821.0
1659774575.5154657,845.5833333333334
1659774575.5154657,868.8333333333334
1659774575.5160067,888.65
1659774318.173553,918.8333333333334
1659777014.4547527,937.7333333333333
1659774318.173553,960.75
1659777014.4547527,1126.3833333333334
1659774318.173553,1391.5833333333333
