area_m,et
1229461.8187832476,0.0
10798033.682718726,67.83333333333333
23352816.342690412,90.0
25605864.911117155,116.33333333333333
46298039.137608916,141.75
27316012.525136802,142.0
52253473.20871849,165.0
52249445.77194706,180.38333333333333
58694497.147424564,212.0
62973568.25586922,236.98333333333332
61214301.85854372,238.0
68969301.24560608,259.8833333333333
62975734.419862255,262.0
68971428.41355139,285.25
79251147.88605475,287.71666666666664
79594842.95111242,309.0
87841725.26606682,309.78333333333336
87496415.08597727,325.28694444444443
94968415.34106594,332.8666666666667
94819643.32421115,355.6166666666667
99111853.0232274,356.51666666666665
98511987.2630108,376.9605555555556
99112250.32613838,381.4166666666667
105553337.33259611,383.3333333333333
106027821.15424713,406.26666666666665
105886869.53404206,428.75
106271670.27353184,432.0833333333333
106423733.42744501,451.65
106460536.95979159,462.71666666666664
106445341.25620621,471.3786111111111
106460536.95979159,485.3833333333333
106460542.18933007,501.3333333333333
106460542.18933007,524.4166666666666
52493.7538971136,1896.0
