area_m,et
67037.15375099801,0.0
1837000.3292234954,78.0
2820855.176755658,110.5
2820775.8459600294,117.5
3086899.3056578496,137.25
3512643.1548944735,180.75
3512643.6725059953,183.0
3512573.631273936,215.0
4054275.540814178,233.0
4070058.5259546572,240.25
4432002.138490341,279.0
4431918.402167905,322.3333333333333
8690185.2476456,327.43333333333334
9459392.389807088,349.96666666666664
10233574.157657458,378.18333333333334
10620055.454485932,397.5833333333333
10958845.97885505,425.6333333333333
10971758.455321722,444.8333333333333
11165758.775129108,469.25
11429554.228947595,473.06666666666666
11775847.683207026,492.5833333333333
12618665.564305058,521.3
20075036.161573205,569.7
22659215.11505643,588.7333333333333
24338048.61245292,616.8333333333334
25167524.949805558,636.2333333333333
11583648.940139787,664.0666666666667
29204144.897586424,708.8833333333333
30001189.135417882,731.5
31229505.43920496,755.7166666666667
31409087.686098114,783.9
32236648.972622987,828.0
31517753.75474367,831.8666666666667
31676684.187459856,851.8166666666667
32478190.32979006,876.0
33278136.92427083,900.3333333333334
34169060.65563031,927.1166666666667
34308876.430707105,952.5
35188833.1316318,970.0333333333333
35504797.35103272,1023.8833333333333
35504797.35103272,1094.0
