area_m,et
99176122.80369358,0.0
127511623.94799443,4.716666666666667
127587490.89973073,23.266666666666666
137965884.349607,26.65
141949692.74905512,48.166666666666664
143071011.85260826,49.0
143236539.60770804,72.33333333333333
145578615.6888981,73.05
147090475.48034784,94.78333333333333
145791729.76751912,96.73333333333333
146189954.25365475,118.66666666666667
147800017.3121599,119.73333333333333
146189954.30455777,123.11666666666666
147861189.4596967,144.25
146725631.94639975,144.46666666666667
147850786.6529335,168.18333333333334
147780665.1133662,191.83333333333334
147788577.51716655,217.98333333333332
147780665.1133662,227.63333333333333
