area_m,et
22806825.13126804,0.0
42722273.163607456,21.983333333333334
56758293.36120476,24.183333333333334
97056339.72871608,47.55
92701974.58579277,49.21666666666667
117619240.2481984,71.4
137157677.2416586,97.33333333333333
150833861.52459905,121.08333333333333
166837918.73297006,142.88333333333333
169602196.4599278,143.13333333333333
181241383.02123478,166.78333333333333
181241383.02123478,168.33333333333334
189276585.42758974,193.0
188534555.14158127,193.08333333333334
189354281.8914636,214.4
191925342.91446602,215.83333333333334
197940195.84052935,240.21666666666667
197940195.84052935,264.78333333333336
197940195.84052935,287.81666666666666
197940195.84052935,313.0833333333333
197940195.84052935,332.8
197940195.84053224,360.76666666666665
197940195.84052935,384.05
197940195.84053224,408.3333333333333
197940165.48880285,455.98333333333335
197940195.87837234,494.2263888888889
197940195.8915558,697.15
197940195.89154607,868.8333333333334
