area_m,et
179704.46432003053,0.0
627851.4292378934,2.0
409198.10784105625,24.0
504917.058703776,48.21666666666667
445729.2392793768,48.3
504746.78936764726,55.0
622354.3329300565,76.13333333333334
627851.3370175376,104.0
627851.3370175208,127.0
627851.3249914871,167.96666666666667
627851.3370175376,225.0
627851.3249913802,288.8833333333333
627851.3249913802,316.8333333333333
627851.3226918036,335.35
627851.3226918036,363.56666666666666
627851.3226918036,409.4
627851.3226920741,435.45
627851.3226918036,479.3833333333333
627851.3226918036,484.01666666666665
627851.3226920741,503.7
627851.3226918036,550.9833333333333
627851.3226918036,579.8833333333333
627851.3226918036,599.1
627851.3226918036,626.3833333333333
627851.2210279824,722.0
