area_m,et
814789.3034295023,0.0
3360273.7038247148,64.86666666666666
18233217.918202173,152.43333333333334
20156200.880502705,174.4
18233214.3005333,176.63333333333333
34388141.4349394,200.31666666666666
34960283.10828774,227.75
46959389.89768812,248.35
38817586.89412745,248.63333333333333
46964187.896846764,272.6333333333333
49791185.33279782,272.73333333333335
58209180.309761904,296.55
60615138.82892603,321.0
58343428.13537845,325.51666666666665
62160267.528895296,345.93333333333334
63282573.74742888,350.2
64264766.392447054,365.53333333333336
63282573.749672,372.21666666666664
63661895.23086147,373.85
64177768.338513665,392.6333333333333
64131814.25162096,392.8666666666667
64555788.3417851,405.6
65251658.348761514,413.81666666666666
65593080.370784424,440.6333333333333
65751537.405199915,442.1
64235569.65017718,465.55
64384126.79081677,488.6333333333333
64235565.558624834,509.6333333333333
