area_m,et
4022313.356038778,0.0
9742180.505823812,58.5
9228940.850478705,59.166666666666664
9938498.708117295,81.23333333333333
10451543.663448742,107.45
11751759.155143306,109.5
12915067.982780144,135.0
13034695.487692565,141.5
13441330.75012955,155.13333333333333
14055879.317036616,155.25
14162576.217009537,166.46666666666667
15460935.008873194,178.5
14164718.300222274,179.21666666666667
15473289.478902198,190.51666666666668
15648632.963812575,202.9
16240864.17509867,204.0
16385407.687115522,213.58333333333334
16950206.314115167,229.5
17004214.06224687,237.65
17524669.32450339,251.0
17549002.891021185,260.96666666666664
21009942.97073995,324.0
23131733.263438817,347.25
28375770.579338297,373.0
27005115.419351112,397.0
21042280.012614667,518.25
25319542.721216097,542.5
22157215.047095206,830.75
30610416.85650437,1381.0
28194363.41207114,1406.5333333333333
