area_m,et
1036245.2197675585,0.0
784548.2621049494,101.0
1052223.4488496208,111.0
1052223.6037377066,156.7
3382601.9314350868,181.46666666666667
3515404.8161912006,208.91666666666666
3831732.160424889,229.1
4382881.402970488,256.3833333333333
4633813.963678917,300.0
5177748.1991916625,324.15
5769524.0380778,351.93333333333334
7781464.592487365,400.6
8563344.502960727,421.46666666666664
8762427.636686321,446.8333333333333
8915821.511732833,469.1166666666667
9248857.098086642,515.1
9439976.119149286,588.2
9356356.43763058,614.0833333333334
9465545.900743088,685.4666666666667
