area_m,et
1669673.106156955,0.0
1669673.0988207245,5.416666666666667
47110233.37304076,22.35
120793026.33885968,47.3
121143007.85455185,72.16666666666667
179516582.72562754,95.58333333333333
180022185.92543906,97.16666666666667
181436684.61996448,123.45
184679580.74718583,143.5
182222919.20993918,144.83333333333334
185448757.93888554,169.16666666666666
186478236.8136492,198.95
187691047.40798572,245.83333333333334
190638041.9873803,271.43333333333334
190638041.9873803,289.1666666666667
190617217.05113545,387.96666666666664
