area_m,et
12331483.054366862,0.0
22072513.758415174,14.966666666666667
21727772.995716605,17.316666666666666
22072510.14313573,29.666666666666668
51301388.56635762,38.733333333333334
51301380.16011146,41.266666666666666
65350777.090055585,64.18333333333334
67878585.52090065,67.5
67834133.6737492,75.36666666666666
91650832.17472672,89.75
91194058.32862215,90.7
91650832.19556609,98.96666666666667
92055844.7470254,109.63333333333334
100740030.29992518,114.25
114513997.49095483,133.5
119591989.61564338,138.11666666666667
130279520.00914724,154.05
130062705.12282223,154.35
138173832.23912194,160.25
137577997.8911768,162.05
137914029.02969697,183.03333333333333
154687987.88022712,183.71666666666667
154792951.91451836,186.05
156317568.5428189,206.43333333333334
155925127.82416412,210.96666666666667
155945698.3741976,228.58333333333334
159651762.82516804,229.65
159193381.05399236,230.38333333333333
159654089.61604765,254.66666666666666
159654152.42764688,256.71666666666664
159654152.42764688,303.65
159654089.6160479,327.5833333333333
