area_m,et
337890.8475882361,0.0
590029.0432420952,1.45
590029.0472170409,24.0
700172.852898502,28.95
840677.6276827983,48.21666666666667
957170.398807224,55.0
1369502.9179518502,76.13333333333334
1605155.2891256318,98.0
32.03277415977192,104.0
1605155.0548308766,104.0
1818649.1354607262,127.0
2074968.2228420079,151.0
4124690.8395135566,167.96666666666667
27665.866078849765,194.0
9675556.358304558,225.0
13672170.72144315,240.7
6293.386110501789,242.0
17000040.606814142,266.95
18390589.508245077,288.8833333333333
20702084.922752984,316.8333333333333
31905872.822804395,335.35
32376721.386321526,363.56666666666666
35502290.092540234,383.45
