area_m,et
8888793.625836281,0.0
20742566.855671473,21.833333333333332
11833805.565437166,24.0
119932304.20917922,262.31666666666666
119943325.96585882,282.03333333333336
128300440.79645848,289.3
136404519.12879175,309.78333333333336
147836485.72713858,337.0833333333333
155934772.65906256,358.1
161636379.03093734,382.73333333333335
166908673.56508324,408.78333333333336
170461405.11451557,430.01666666666665
174596153.33952814,457.31666666666666
176190274.22159082,478.25
182959076.40140536,505.1166666666667
188012467.30903798,525.4833333333333
195959959.60833243,553.2166666666667
199075602.40419397,573.6666666666666
201798704.2861262,600.6333333333333
202582992.9092319,626.0
212059640.40619275,646.6666666666666
212059610.71228486,658.05
213543373.55300587,674.0333333333333
212059610.71228486,697.5
212059610.71228763,724.0
214309543.09266958,765.25
214388136.72532383,792.6
214505446.257377,813.4166666666666
214508955.7071631,840.3333333333334
214558579.8046425,861.0666666666667
214558579.80464175,888.4
214554342.31038266,910.0166666666667
214552363.18499306,937.0
214568878.98565078,956.75
214558202.86346468,984.0
214574117.3133635,1009.2
214574147.30959752,1030.9833333333333
214392531.60159296,1037.7375
214642886.39667168,1053.3333333333333
214392531.60159296,1061.1980555555556
214642885.6129273,1077.95
214670092.58093032,1104.0
214637968.08748037,1110.34
214798800.6681235,1155.5511111111111
215132468.43055913,1173.6
214816090.6912207,1176.0
215115148.37934828,1223.4333333333334
215115148.37934822,1246.0166666666667
215129952.8218577,1270.0666666666666
215129953.77232477,1317.7
215129953.77232477,1342.7833333333333
215129953.60738164,1404.5
215129953.60738164,1439.0333333333333
215115149.16480765,1459.0
215115179.23209214,1556.9666666666667
215115179.23209214,1606.4333333333334
215115179.23209214,1630.5
215115179.23209214,1654.65
215115179.23209214,1678.4333333333334
215115179.23209214,1822.4333333333334
215115179.23209214,1941.5666666666666
