area_m,et
127023921.00153014,0.0
266248727.31476882,19.333333333333332
471725035.0518537,41.3
392034715.3022875,43.333333333333336
584549299.1775485,67.66666666666667
623651245.9192212,88.75
603415345.4901657,89.81666666666666
699264118.2622439,112.9
661902227.5236642,115.33333333333333
922895728.3638192,138.68333333333334
910947928.1785346,144.58333333333334
941247362.6225125,161.83333333333334
960371121.5714924,163.61666666666667
963973060.2465439,184.05
976518272.1984202,186.75
982239453.9233729,209.33333333333334
996585199.934299,211.58333333333334
1024695520.1026814,233.83333333333334
1033099184.8832974,235.65
1043893420.5118775,258.5833333333333
1055795938.0554512,260.05
1089428354.1637394,280.48333333333335
1096136845.8925247,284.01666666666665
1100807656.299835,302.8333333333333
1101485661.010289,307.76666666666665
1106243750.5591514,328.48333333333335
1106944824.9629776,331.71666666666664
1106424244.2615297,352.9166666666667
1106981014.499147,355.4166666666667
1107586166.3372793,373.8333333333333
1108314325.0090237,379.8333333333333
1110722578.1277132,398.3333333333333
1110741933.2372708,403.53333333333336
1110780802.2358942,426.55
1110722578.1277132,436.3333333333333
1110788477.8767035,450.5
1110958374.12728,460.8333333333333
1147497517.4438605,469.3333333333333
1147497517.4438605,484.8333333333333
1147497517.4438605,509.3333333333333
1147688860.2444434,518.3333333333334
1147688860.2444434,541.3333333333334
1147896264.9063375,541.35
