area_m,et
3195222.12183202,0.0
4838333.7866121875,19.333333333333332
8172159.442946167,46.81666666666667
9576612.552924175,67.28333333333333
9924193.779238442,76.66666666666667
11967727.67263361,115.0
12705073.208322613,139.05
12709766.031854441,187.05
12696596.90919726,235.76666666666668
12696596.909197195,238.45
12696596.909197195,260.03333333333336
12696596.916802231,288.3833333333333
12696596.916802231,306.45
12696596.916802842,354.5
12696596.916802842,381.01666666666665
12696596.916802842,455.65
12696596.916802544,474.76666666666665
