area_m,et
107821058.81684081,0.0
122334387.07317302,5.65
125295725.4754,7.733333333333333
122432934.81523862,31.0
132825184.55645739,32.4
140077396.0971156,54.666666666666664
132843746.1796017,55.0
141622018.7229411,78.46666666666667
144804880.00151864,101.81666666666666
147424143.79073364,126.78333333333333
147248421.90102252,126.95
147661501.49127197,149.11666666666667
147731757.3953581,150.0
147942654.20026377,174.0
147966575.46558952,174.88333333333333
147951563.18779546,197.85
148668578.38424408,222.0
148669538.22753108,244.68333333333334
148941909.27740988,248.0
148669538.22753108,269.5
148941909.27740988,270.0
148941909.27741396,295.0
148669538.22753108,315.98333333333335
148941909.27741396,317.5
148941909.27741396,342.68333333333334
148941909.27741396,365.5
