area_m,et
1180355.5268584208,0.0
948837.9457284957,8.983333333333333
1691758.3250581746,74.43333333333334
3705381.7962350235,85.5
7029386.088728382,106.0
8449871.531395406,135.25
15570907.860550357,163.23333333333332
21389654.8153682,181.81666666666666
17257651.307334855,182.91666666666666
21385372.46514985,209.16666666666666
28061132.18479939,210.88333333333333
31121311.79836706,229.11666666666667
40706249.11382209,259.3833333333333
42765834.76123989,276.9166666666667
45108331.209347636,307.3333333333333
51121074.89563368,328.6
64657637.50332062,358.0
69543309.96639353,376.3833333333333
81099072.90472524,400.55
85262011.96670866,423.8833333333333
85262011.96670866,447.7
123622480.4290541,450.18333333333334
123624399.77446368,474.18333333333334
197275576.0622925,499.06666666666666
136421572.00632232,517.3833333333333
193909549.64400482,520.2
235170359.64134687,544.1
256467148.02110493,568.8166666666667
241840967.53588846,587.25
257877740.40907544,588.8666666666667
262342447.8560239,590.5333333333333
257498608.51751405,592.0
257016644.48385963,617.2666666666667
257016644.4838656,640.0666666666667
258389734.35855746,666.1166666666667
260781994.9331583,712.5333333333333
261192682.60147762,732.85
262118259.15441376,757.95
262988756.87857845,758.75
263514254.56459793,782.3333333333334
264212335.10146844,784.2666666666667
264565226.42366463,804.3
264410189.64763066,829.15
264410189.64763066,853.7166666666667
264443711.09071282,877.6166666666667
264806118.9179695,909.8333333333334
264806118.9179695,926.0833333333334
264806118.9179695,928.0
264806496.203233,973.1166666666667
264806457.45860878,998.0
264806457.45860878,1021.0
264808440.70376948,1024.6833333333334
264835864.2380566,1070.3166666666666
264806457.45860878,1078.0
264841198.25537622,1116.3333333333333
264866582.33638898,1189.4666666666667
264866582.33638898,1310.6333333333334
264959630.89169332,1380.4666666666667
264973253.2419841,1456.2166666666667
