area_m,et
6594223.4281000085,0.0
42505825.469998874,27.083333333333332
65915910.25916037,51.25
104746962.44963,76.75
130397494.14006968,102.25
143326823.79099962,125.5
163572482.6079619,150.75
188972978.09976554,173.75
203668755.83851555,197.0
222814523.86360565,221.25
228202977.31743437,246.75
230272629.2683822,270.5
233015562.04781103,292.85
236456955.80827105,315.0
236456994.156143,338.3333333333333
236910738.4007703,363.4166666666667
235945436.96310243,363.95
237347838.96006072,376.0
237347838.96006072,389.01666666666665
238660912.63846686,411.75
238660951.28225788,455.8666666666667
238862664.3901382,459.31666666666666
239081241.67429072,482.3333333333333
239471623.956397,532.9
239917268.57258275,577.6166666666667
65915910.25916046,797.25
