area_m,et
198843.30210228125,0.0
303170.0651736604,34.0
352017.29736729874,58.0
365546.75024148787,70.45
629625.4716601399,146.53333333333333
1214524.3975222837,165.71666666666667
7863286.335393351,199.0
18723253.925327603,215.35
18723536.881869346,239.2
21286534.42964264,262.25
22154648.49533687,310.5
22815151.626822952,358.0
23895903.95040822,383.5
24188257.64855714,438.8833333333333
26858653.82099834,456.0
27358581.264042165,502.5
27459798.445028644,528.0
28438817.00944271,575.0
28740478.834200148,595.3333333333334
31053990.4324234,601.6333333333333
32633521.873538066,622.6
33265950.265832726,624.0
32643427.226660836,645.0
33816297.056101665,651.7833333333333
34206835.65848959,670.1666666666666
35731505.62192343,717.7166666666667
35241155.8531583,717.8333333333334
35717055.32110699,742.25
41300725.969889775,746.6833333333333
39307539.94031392,765.0666666666667
41368756.619344905,794.85
42023802.54185251,843.2666666666667
42313458.48750325,861.3333333333334
42482525.10778676,890.6833333333333
42707325.05570522,908.7166666666667
43028670.09463499,937.6333333333333
43108735.739609145,981.8833333333333
43439357.57100699,1004.5
44407633.3199434,1028.5
44629483.324268416,1028.7166666666667
44703190.190067776,1056.9
44897842.40209333,1173.1166666666666
45161558.56501793,1200.6
45841814.77630926,1243.4666666666667
46990860.40922486,1295.0
46990860.40922486,1366.0
46990860.40922486,1534.5
47044322.87250617,1557.55
47044322.87250625,1728.4666666666667
