area_m,et
8676574.066807007,0.0
14143429.405105755,14.866666666666667
12169450.01067412,32.1
12169450.01067412,56.1
12464379.335604137,78.35
11843811.191945545,80.41666666666667
11859458.806754487,86.1
11843811.191945545,104.06666666666666
12463538.08779293,125.85
12229234.762365986,127.61666666666666
12432295.792666426,149.06666666666666
12463534.066579007,182.1
12709613.613970429,197.5
12415126.6832019,197.96666666666667
12709613.613970365,226.98333333333332
12718120.708203835,380.1666666666667
