area_m,et
38624306.247256786,0.0
79024705.8195908,0.7666666666666667
365397379.22494733,4.066666666666666
290459043.98105246,10.316666666666666
373904923.35893667,35.05
390272820.6781673,50.56666666666667
407086058.54908633,75.46666666666667
406837048.13995755,76.81666666666666
406760111.42576504,78.23333333333333
411151094.3682577,99.0
410790845.1631631,101.5
408546744.96354747,121.13333333333334
407580203.0056019,125.9
408549987.17834187,147.15
407580203.0056019,152.2
408549987.17835903,169.25
403614897.31529826,179.05
395156370.690047,204.21666666666667
